user_id	age	gender
19113	32.9793605803465	0
29143	29.7469355908125	1
32753	27.1812014492765	0
660073	26.7068426258435	0
694563	35.4351854580734	0
759285	22.850541870784	0
787102	31.3697808984952	0
817626	28.629380877532	0
877871	28.7332877987763	0
936401	31.7931268527843	1
1147491	27.8809131923545	0
1359751	30.7242323440615	1
1444791	30.1977742473226	0
1516411	33.5123758897974	0
1684341	28.9798166781169	1
2013741	30.1321699323759	0
2165051	34.2289072953288	0
2278171	32.4633559481054	0
2295901	36.3810176556698	0
2306211	30.3419373459293	1
2437791	36.7462956995396	0
2652991	28.7133138572074	0
2922611	39.2759292123976	1
3065671	43.6176314766304	1
3069061	29.9611242480823	0
3875581	26.5184853242251	0
4401271	52.439300072016	1
4620371	22.4634606928214	0
5200971	26.8575107470442	1
5299452	35.6107438440647	1
5444552	29.6978140035237	1
5564142	31.6846887012422	0
5707642	30.2993160959833	1
5745652	29.0448401016709	1
5823122	27.5073833994333	0
5833382	31.5201372629071	1
5883402	26.9182692240066	1
5908732	22.8734489860933	0
6136412	23.5381810770158	1
6222292	29.0512616900072	0
6234712	23.1406270948171	1
6258632	34.3758413197909	0
6297272	32.8574386969815	0
6399402	30.5873396110362	1
6621952	26.7260225246902	0
6656052	24.2576467135139	0
6664772	53.8537257186544	0
6675452	26.9707453322819	1
6801532	32.6252933836734	1
7009542	28.0565362567447	0
7040112	28.8988093451057	1
7076522	26.967065311579	0
7078102	24.9694700346447	0
7233342	31.0037286217811	0
7290652	29.2580326857548	0
7322682	41.5231833428348	1
7334712	32.1938578008914	0
7382502	31.2200279100757	0
7434702	31.5854362384989	0
7451162	29.2844578317788	0
7489922	29.877935892436	0
7604992	25.6297524535707	0
7678652	29.5865705313271	0
7722652	37.971119456418	1
7886722	34.684449026862	1
7900182	30.8522907878164	1
8099302	26.1095559876089	0
8104202	39.6982119957034	0
8184402	24.3733388707385	0
8422662	33.5944021257766	0
8638762	35.8800738915951	1
8741922	29.6949482062736	0
8783902	38.1260861888612	0
8871902	41.4486717025782	0
8878562	20.4802100152	0
8926832	30.8438373358755	0
8940562	26.8348992359598	0
9052812	44.9010075294799	1
9061222	39.7894082493808	1
9081512	29.310570612199	0
9109072	31.190637102361	0
9111462	29.6355382620558	1
9113912	30.2959467510231	0
9153382	33.0532497076272	0
9201112	26.3910936391626	0
9277772	26.4694421882589	0
9277792	24.7090278907247	0
9363752	34.4936436361932	1
9409772	26.58252956215	0
9422102	31.5002498203361	0
9429512	25.6117519167696	0
9481212	28.5192823914366	0
9581202	25.3278297127006	1
9635082	32.5096632693435	1
9775912	10.4647624432721	1
9885022	37.4341447771208	0
10075292	29.6108584669213	1
10075412	23.8452535514146	0
10081942	32.6772679619518	0
10207602	29.0730922882172	0
10321782	30.0103833019837	1
10490742	31.792386699389	0
10530472	31.8207866804664	0
10625152	32.9587627234024	0
10713592	31.852864449463	0
